"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,1,"7800000574",PON,NOR,"20151012","1000000004",RMB, ,"0123FA2",38701.58,38701.58
MU,1,"7800000574",PON,NOR,"20151012","1000000004",RMB, ,"0123FA2",197007.82,197007.82
MU,1,"7800000573",PON,EXP,"20151012","1000000004",RMB, ,"0123FA2",3029.78,3029.78
MU,1,"7800000573",PON,CRT,"20151012","1000000004",RMB, ,"0123FA2",3029.78,3029.78
MU,1,"7800000576",PON,CRT,"20151012","1000000004",RMB, ,"0123FA2",1367.52,1367.52
CA,1,"4010006846",POW,CRT,"20100225",CS00002,USD, ,"0123FA2",11809,11809
MU,1,"11J70047",POW,NOR,"20110120","0000001011",USD,B737NG,"0123FA2",12944,12944
MU,2,"11SG77074",POW,CRT,"20110714","0000001011",USD,B737NG,"0123FA2",12944,25888
CA,2,"4010014688",POW, ,"20111226",CS00002,USD, ,"0123FA2",13618,27236
CA,1,"4010014844",POW, ,"20120111",OS81205001,USD, ,"0123FA2",15533,15533
MU,1,"12GX78321",POW,NOR,"20120521","0000001012",USD,B737NG,"0123FA2",13618,13618
CA,2,"4010018519",POW,CRT,"20130115",CS00002,USD, ,"0123FA2",14449,28898
MU,2,"13SP95338",POW,EXP,"20130823","0000001011",USD,B737NG,"0123FA2",14449,28898
MU,2,"14GX73258",POW,CRT,"20140725","0000001636",USD,B737NG,"0123FA2",14000,28000
MU,1,"14GX73219",POW,AOG,"20140728","0000001403",USD,B737NG,"0123FA2",14845,14845
MU,1,"14GX73220",POW,CRT,"20140728","0000003325",USD,B737NG,"0123FA2",14700,14700
MU,2,"15KX77505",POW,EXP,"20150107","0000001403",USD,B737NG,"0123FA2",15513,31026
MU,2,"15GX73028",POW,CRT,"20150116","0000001403",USD,B737NG,"0123FA2",15513,31026
MU,1,"15GX78032",POW,EXP,"20150206","0000001403",USD,B737NG,"0123FA2",15513,15513
CA,1,"4010026685",POW,AOG,"20150227",OS81205001,USD, ,"0123FA2",17814,17814
MU,1,"16GX73066",POW,NOR,"20160217","0000001403",USD,B737NG,"0123FA2",15533,15533
MU,1,"16GX78359",POW,EXP,"20160520","0000001403",USD,B737NG,"0123FA2",15533,15533
MU,2,"16GX78921",POW,NOR,"20160919","0000001403",USD,B737NG,"0123FA2",15533,31066
MU,1,"17ZX95113",POW,NOR,"20170330","0000001403",USD,B737NG,"0123FA2",15533,15533
MU,1,"11GX78807",POW,NOR,"20111226","0000001404",USD,B737NG,"024116",1744,1744
MU,2,"12MX73045",POW,CRT,"20120202","0000001404",USD,B737NG,"024116",1885,3770
CA,2,"4010015724",POW, ,"20120413",CS00029,USD, ,"024116",1885,3770
MU,3,"12GX78559",POW,NOR,"20120903","0000001404",USD,B737NG,"024116",1885,5655
MU,2,"1600074712",POW,NOR,"20190806","0000001404",USD,B737NG,"024116",3493,6986
MU,1,"1600082903",POW,CRT,"20190830","0000001143",USD,B737NG,"024116",4366.25,4366.25
CA,1,"4010024853",POW,NOR,"20140917",OS73030001,USD, ,"1019439-1-001",64135.04,64135.04
CA,2,"4010026913",POW,EXP,"20150319",OS73030001,USD, ,"1019439-1-001",64629,129258
MU,1,"1100045920",PON,EXP,"20220805","6100001196",RMB,B737NG,"1019439-2-001",306000,306000
MU,1,"18GX78624",POW,CRT,"20180709","0000001325",USD,B737MAX,"1019439-2-001",76187.5,76187.5
CA,2,"4010005901",POW, ,"20091130",OS07217001,USD, ,"1150002-1",1939,3878
CA,3,"4010012881",POW, ,"20110713",OS07217001,USD, ,"1150002-1",2269,6807
MU,1,"11KG78015",POW,EXP,"20111228","0000001347",USD,B737NG,"1150002-1",2396,2396
CA,2,"4010016614",POW,NOR,"20120621",OS70210001,USD, ,"1150002-1",2396,4792
MU,1,"13SP95384",POW,EXP,"20131018","0000003131",USD,B737NG,"1150002-1",2444,2444
MU,1,"14GX78413",POW,CRT,"20141009","0000001347",USD,B737NG,"1150002-1",2542,2542
MU,1,"15SG73077",POW,CRT,"20150707","0000001347",USD,B737NG,"1150002-1",2638.34,2638.34
MU,1,"15GX78205",POW,CRT,"20150914","0000001347",USD,B737NG,"1150002-1",2638.34,2638.34
MU,3,"16GX78785",POW,CRT,"20160721","0000001347",USD,B737NG,"1150002-1",2778.67,8336.01
MU,1,"12KG78001",POW,EXP,"20120104","0000001347",USD,B737NG,"1150250-1",3017,3017
CA,4,"4010017190",POW,AOG,"20120824",OS70210001,USD, ,"1150250-1",3017,12068
MU,1,"13YX78052",POW,CRT,"20131127","0000001347",USD,B737NG,"1150250-1",3077.5,3077.5
MU,1,"14YX77156",POW,CRT,"20140617","0000001347",USD,B737NG,"1150250-1",3185,3185
MU,1,"17YX77423",POW,CRT,"20170705","0000001143",USD,B737NG,"1150250-1",4534,4534
MU,2,"17YX77460",POW,EXP,"20170823","0000001346",USD,B737NG,"1150250-1",3520.15,7040.3
MU,1,"17MX73300",POW,CRT,"20171114","0000001346",USD,B737NG,"1150250-1",3520.15,3520.15
MU,1,"18GX78036",POW,CRT,"20180117","0000001346",USD,B737NG,"1150250-1",3643.35,3643.35
MU,1,"18GX73311",POW,EXP,"20180627","0000001346",USD,B737NG,"1150250-1",3643.35,3643.35
MU,1,"18GX78778",POW,EXP,"20180820","0000001346",USD,B737NG,"1150250-1",3643.35,3643.35
