CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID,CHID,剩余数量,ZMSGRP,ZUEQUNR,ZUMATNR,ZUSERNR,ZDEQUNR,ZDMATNR,ZDSERNR,ZSZBM,ZCHDAT,ZCHTIM,ZZCHYY,RONO
MU,1,1500006648,HQY,CRT,20230301,1000000141,RMB,B737NG,3214972-1,5000.0,5000.0,20230302,20230310.0,8.0,21-6X-18,,1,,,,,,,,,,,,
MU,1,1500007509,HQY,CRT,20230614,1000000575,RMB,B737NG,21933-01AD,25140.16,25140.16,20230614,20230630.0,16.0,21-3x-02,157548159T00225460001,0,B20A1,000000001002174096,21933-01AD,1196082,000000001001830842,21933-01AD,1911926,PKX,20230623.0,161120.0,DDF-2023-B20A1-0011-0001客舱增压自动增压失效灯亮(客舱增压自动增压失效灯亮 CABIN BOOSTER AUTOMATIC BOOSTER FAILURE LIGHT), 
MU,1,1500007521,HQY,AOG,20230615,1000000152,RMB,B737NG,607518-2,2000.0,2000.0,20230615,20230626.0,11.0,21-5X-37,157471806T00170270001,0,B5223,000000001002174110,607518-2,013C-5087,000000001000411330,607518-2,607518-08495,PKX,20230615.0,125339.0,RTSWO-2023-B5223-012 （检验：C）外站反映右组件冲压进气地面卡 在全关位，地面尝试空地转换无效 ，MEL21- 01-01-01失效右组件放行, 
MU,1,1500008178,HQY,NOR,20230823,1000000142,RMB,B737NG,3214972-1,200.0,200.0,20230824,20230905.0,12.0,21-6X-18,158164499T00987150001,0,B207Z,000000001000770446,3214972-1,4169,000000001002202050,3214972-1,2454,PKX,20230901.0,214423.0,生产指令：B737NG-A027-202308-00012-0001借件拆换，归还艾威胜。, 
MU,1,1500007964,HQY,NOR,20230802,1000000152,RMB,B737NG,67600014-1,12000.0,12000.0,20230802,20230815.0,13.0,21-5X-11,158028146T01229950001,0,B1306,000000001000821003,67600014-1,67600014-1492,000000001001409760,67600014-1,67600014-8518,SHA,20230815.0,134727.0,曾反映空中右侧冲压空气全开灯亮, 
MU,1,4100008798,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,66923.17,66923.17,20171212,20180316.0,94.0,21-5X-11,146707347T08310780001,0,B5689,000000001000959438,67600014-1,67600014-2969,000000001000925786,67600014-1,67600014-2894,WUH,20171213.0,121220.0,针对前期反映右组件PACK灯亮进一步排故。,17MW65651
MU,1,1600152033,HQY,AOG,20200412,1000000012,RMB,B737NG,645242-1,11812.63,11812.63,20200413,20200506.0,23.0,21-2x-28,151110113T00882740001,0,B7636,000000001001841274,645242-1,2656,000000001001844294,645242-1,2569,PVG,20200417.0,100832.0,CES-GCEOTK-2020-B737-21-306 海事卫星SDU冷却风扇检查和清洁, 
MU,1,1600181227,HQY,CRT,20200801,1000000141,RMB,B737NG,3290206-1,6473.39,6473.39,20200801,20200814.0,13.0,21-5X-36,151584407T00108410001,0,B6108,000000001000389108,3290206-1,6279,000000001001106544,3290206-1,9948,PVG,20200804.0,90809.0,开口项目NRC-2020-B6108-0052(左、右空调的PACK和管道温度都偏高),1600183207
MU,1,1600181721,HQY,AOG,20200803,1000000031,RMB,B737NG,4101054,10000.0,10000.0,20200811,20200814.0,3.0,21-2x-25,151629867T00067780001,0,B5140,000000001000564514,4101054,19507,000000001001859989,4101054,8493,SHA,20200812.0,93739.0,维修生产指令：B737NG-A035-202008-00042-0001 借件拆换，归还国航, 
MU,1,1600195976,HQY,AOG,20200922,1000000142,RMB,B737NG,3202444-1,1234.97,1234.97,20200923,20200927.0,4.0,21-6X-17,151868160T00226710001,0,B5610,000000001001550824,3202444-1,12384, , , ,SHA,20200925.0,100520.0,NPM-2020-5691-0004 串件装上, 
MU,1,1500002191,HQY,NOR,20200927,1000000152,RMB,B737NG,645242-1,14000.0,14000.0,20200928,20201103.0,36.0,21-2x-28,152068147T20356040001,0,B1471,000000001001882329,645242-1,3203,000000001001873718,645242-1,984,PKX,20201031.0,63932.0,指令B737NG-A027-202010-00007-0001借件拆换 归还翔腾, 
MU,1,4100007243,HQY,AOG,20170120,1000000141,RMB,B737NG,541674-4,1.0,1.0,20170123,20170210.0,18.0,21-5X-11,145337729T07146240001,0,B5475,000000001000440712,541674-4,10804,000000001001324711,541674-4,11043,WUH,20170208.0,82051.0,完成生产指令, 
MU,1,4100007165,HQY,AOG,20170103,1000000575,RMB,B737NG,21230-10BA,27438.37,27438.37,20170103,20170109.0,6.0,21-3x-03,,1,,,,,,,,,,,,
MU,1,4100007673,HQY,AOG,20170504,1000000155,RMB,B737NG,65-52810-64,4972.15,4972.15,20170504,20170512.0,8.0,21-5X-02,145698566T00097890002,0,B5692,000000001001131051,65-52810-64,F13752,000000001001182145,65-52810-64,F14070,SHA,20170504.0,83540.0,曾反映左ACT未全开, 
MU,1,4100007954,HQY,AOG,20170625,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170626,20171110.0,137.0,21-5X-11,146137193T17550250001,0,B1790,000000001000928462,67600014-1,67600014-2656,000000001001393917,67600014-1,67600014-1824,KMG,20170811.0,120410.0,生产指令：B737NG-A027-201708-00007-0001 借件归还，归还利钝, 
