"CHID","ZMSGRP","ZUEQUNR","ZUMATNR","ZUSERNR","ZDEQUNR","ZDMATNR","ZDSERNR","ZSZBM","ZCHDAT","ZCHTIM","ZZCHYY","RONO"
"150847917T02633580001",B7599,"000000001000853816","1019439-2-001","2014040025","000000001001349724","1019439-1-001","2017020241",KMG,"20200124","150237",增压面板背景灯闪烁, 
"150879888T03448080001",B5808,"000000001001804768","645242-1","3173","000000001001836690","645242-1","2001",KMG,"20200131","150328",SDU风扇不工作, 
"150791975T03182240005",B1791,"000000001001113695","398908-5","25316","000000001000901246","398908-5","22445",KMG,"20200116","094113",右组件pack灯亮, 
"150781928T03172400001",B1790,"000000001001251522","398908-5","27296","000000001001252170","398908-5","27292",KMG,"20200113","091744",航前双发启好后，左PACK灯亮, 
"150723454C19433710001",B5665,"000000001001488203","4101054","30769","000000001000564514","4101054","19507",PKX,"20200104","050540","6jkl有异响", 
"150736172T19833270001",B7372,"000000001001151916","67600014-1","67600014-5044","000000001001148216","67600014-1","67600014-5295",PKX,"20200107","063834",右空调冲压进气门作动筒故障, 
"150796466T00805410001",B5315,"000000001000218259","398908-5","7317","000000001000215738","398908-3","7250",SHA,"20200116","051429",曾反映驾驶舱区域温度灯亮, 
"150795418T00575900001",B5833,"000000001001497243","398908-5","8518","000000001001477703","398908-5","30878",PVG,"20200116","085858",曾反映左PACK跳开,"1200062044"
"150825672T00732850001",B1265,"000000001001164488","21933-01AD","1596321","000000001001570560","21933-01AD","18183504",SHA,"20200121","191254",曾反映AUTO FAIL 亮, 
"150845793T13449160001",B1775,"000000001001117918","398908-5","25320","000000001000759591","398908-5","20002",TYN,"20200124","093517",更换右侧TCV,"1600135068"
"150711646T00176880001",B1752,"000000001001164494","398908-5","25900","000000001001213097","398908-5","26841",PKX,"20200102","090633",依据简报TR鄂尔多斯推出后机组反映回顾时右组件PACK灯亮航后更换TCV, 
"150878042T00948560001",B7637,"000000001000746623","1019439-1-001","2013060054","000000001000986192","1019439-2-001","2014120023",PVG,"20200131","112209",增压面板数字错误, 
"150856114T20137720001",B7986,"000000001000442745","824392-1-003","2007054733","000000001001184510","1019439-1-001","2016012899",PKX,"20200126","071400",增压面板背景灯光闪烁, 
"150888718T00857500001",B5260,"000000001000401479","183010-4","5146","000000001000204127","183010-4","3990",PVG,"20200202","082248",项目编号：NRC-2020-B5260-0008(右侧水分离器指示器故障), 
"150715426T03253710001",B5689, , , ,"000000001000801009","67600014-1","67600014-1112",KMG,"20200103","090314",右组件PACK灯亮，指向入口门作动筒故障，因航材无件，生成串件指令：NPM-2020-B7170-0001。, 
"150774868T03182040001",B1791,"000000001001262482","67600014-1","67600014-5867","000000001001117861","67600014-1","67600014-4993",KMG,"20200113","142906",外站反映右组件PACK灯亮，PZTC自检指向右组件出口作动器,"1600130286"
"150885474T20179440001",B5262,"000000001000051971","548376-6","068C-10404","000000001000411326","548376-6","548376-11616",PKX,"20200201","092022",航后依据NRC-2020-B5210-0006-001完成生产指令(与B-5262飞机对倒CTC), 
"150873096T03413220001",B1702,"000000001001836277","67600014-1","67600014-14614","000000001001088540","67600014-1","67600014-4527",KMG,"20200130","111202",前期反映右PACK灯亮，代码指向右冲压门入口作动器。,"1600135312"
"150890524T20175880001",B5262,"000000001000408430","396498-2","2879","000000001000411299","396498-2","3524",PKX,"20200202","102705",检查发现FCSOV指示故障, 
"150717917T19820320001",B5470,"000000001001148192",AW2835AB06,"15116359A","000000001000527462",AW2835AB06,"09073639A",PKX,"20200103","071046",依据生产指令NRC-2020-B5470-0001-001完成机组曾反馈客舱高度表指示有误差(类别1：机组曾反馈客舱高度表指示有误差),"1600128374"
"150813919T00766510001",B1262,"000000001001243654","398908-5","25938","000000001001527683","398908-5","31843",SHA,"20200119","085607",再现检查时aft cab zone temp 灯亮，主警戒灯复位按压后灯灭, 
"150772807T11031310001",B7876, , , ,"000000001001262482","67600014-1","67600014-5867",KMG,"20200113","090757",生产指令：NPM-2020-B1791-0001串件拆下, 
"150861716T00856400001",B1900,"000000001001168231","0123FA2","12380","000000001000791400","0123FA2","10013",PVG,"20200127","094604",曾反映设备冷却灯亮, 
"150742850T00502520001",B1336,"000000001001077717","398908-5","24773","000000001001477702","398908-5","30876",CAN,"20200107","093303",空中巡航时平飞时，座舱高度稳定，座舱升降率表依然上下摆动, 
"9999-B9999-Z99910000835110001",B1452,"000000001001449926","162BL903","17079415","000000001001445507","162BL903","17069170",SHA,"20200113","095442",补串件, 
"150881395T20281010001",B5262,"000000001000401500","65-52810-57",D06540,"000000001000398619","65-52810-57",D05323,PKX,"20200131","072652","完成生产指令NRC-2020-B5209-0010-001驾驶舱空调管道过热灯亮,与B5262对倒ACAU,运行监控。(驾驶舱空调管道过热灯亮,与B5262对倒ACAU,运行监控。)", 
"150748773T19512570002",B20A8,"000000001000452823","7121-19971-01AC","9819556","000000001001832841","21933-01AD","19183338",PKX,"20200108","195233",下降平飞后，座舱升降速率表指示在-200FT/MIN，座舱压差缓慢增加, 
"150875492T00875400001",B5395,"000000001000239028","398908-5","14142","000000001000238108","398908-3","14570",PVG,"20200130","084121",曾机组反映区域灯亮 自检显示配平活门, 
