"MANDT","CAIR","CITY","LAND","HLAND","HHLAND","ETOPS"
"800",AAT,阿勒泰,CN, , , 
"800",ACX,兴义,CN, , , 
"800",AEB,百色,CN, , , 
"800",AHJ,红原,CN, , , 
"800",AKA,安康,CN, , , 
"800",AKU,阿克苏,CN, , , 
"800",AOG,鞍山,CN, , , 
"800",AQG,安庆,CN, , , 
"800",AVA,安顺,CN, , , 
"800",BAR,琼海,CN, , , 
"800",BAV,包头,CN, , , 
"800",BFJ,毕节,CN, , , 
"800",BHY,北海,CN, , , 
"800",BPE,秦皇岛,CN, , , 
"800",BPL,博乐,CN, , , 
"800",BPX,昌都,CN, , , 
"800",BSD,保山,CN, , , 
"800",BZX,巴中,CN, , , 
"800",CAN,广州,CN, , , 
"800",CDE,承德,CN, , , 
"800",CGD,常德,CN, , , 
"800",CGO,郑州,CN, , , 
"800",CGQ,长春,CN, , , 
"800",CHG,朝阳,CN, , , 
"800",CHW,酒泉,CN, , , 
"800",CIF,赤峰,CN, , , 
"800",CIH,长治,CN, , , 
"800",CKG,重庆,CN, , , 
"800",CNI,大连,CN, , , 
"800",CQW,重庆,CN, , , 
"800",CSX,长沙,CN, , , 
"800",CTU,成都,CN, , , 
"800",CWJ,沧源,CN, , , 
"800",CZX,常州,CN, , , 
"800",DAT,大同,CN, , , 
"800",DAX,达州,CN, , , 
"800",DBC,白城,CN, , , 
"800",DCY,稻城亚丁,CN, ,X, 
"800",DDG,丹东,CN, , , 
"800",DEH,中国,CN, , , 
"800",DIG,迪庆,CN, ,X, 
"800",DLC,大连,CN, , , 
"800",DLU,大理,CN, , , 
"800",DNH,敦煌,CN, , , 
"800",DOY,东营,CN, , , 
"800",DQA,大庆,CN, , , 
"800",DQL,HBQ,CN, , , 
"800",DSN,鄂尔多斯,CN, , , 
"800",DTU,黑龙江,CN, , , 
"800",DYG,张家界,CN, , , 
"800",ENH,恩施,CN, , , 
"800",ENY,延安,CN, , , 
"800",ERL,二连浩特,CN, , , 
"800",FOC,福州,CN, , , 
"800",FUG,阜阳,CN, , , 
"800",FUO,佛山,CN, , , 
"800",FYN,富蕴,CN, , , 
"800",GHN,广汉,CN, , , 
"800",GMQ,果洛,CN, ,X, 
"800",GOQ,格尔木,CN, ,X, 
"800",GYS,广元,CN, , , 
"800",GYU,固原,CN, , , 
"800",HAK,海口,CN, , , 
"800",HBQ,祁连,CN, ,X, 
"800",HCZ,郴州,CN, , , 
"800",HDG,邯郸,CN, , , 
"800",HEK,黑河,CN, , , 
"800",HET,呼和浩特,CN, , , 
"800",HFE,合肥,CN, , , 
"800",HGH,杭州,CN, , , 
"800",HHA,长沙,CN, , , 
"800",HIA,淮安,CN, , , 
"800",HJJ,怀化,CN, , , 
"800",HLD,海拉尔,CN, , , 
"800",HLH,乌兰浩特,CN, , , 
"800",HMI,哈密,CN, , , 
"800",HNY,衡阳,CN, , , 
"800",HPG,神农架,CN, ,X, 
"800",HRB,哈尔滨,CN, , , 
"800",HSN,舟山,CN, , , 
"800",HTN,和田,CN, , , 
"800",HTT,中国,CN, ,X, 
"800",HUO,霍林郭勒,CN, , , 
"800",HUZ,惠州市,CN, , , 
"800",HXD,德令哈,CN, ,X, 
"800",HYN,台州,CN, , , 
"800",HZA,菏泽,CN, , , 
"800",HZG,汉中,CN, , , 
"800",HZH,黎平,CN, , , 
"800",INC,银川,CN, , , 
"800",IQM,且末,CN, , , 
"800",IQN,庆阳,CN, , , 
"800",JDZ,景德镇,CN, , , 
"800",JGD,加格达奇,CN, , , 
"800",JGN,嘉峪关,CN, , , 
"800",JGS,井冈山,CN, , , 
"800",JHG,西双版纳,CN, , , 
"800",JIC,金昌,CN, , , 
"800",JIL,吉林,CN, , , 
"800",JIQ,黔江,CN, , , 
"800",JIU,九江,CN, , , 
