CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,1500008096,HQY,AOG,20230817,1000000141,RMB,B737NG,0861FL1,1000,1000,20230817,20230821,4.0
MU,1,1500008108,HQY,AOG,20230818,1000000152,RMB,B737NG,930-1000-003,500,500,20230818,20230825,7.0
MU,1,1500008252,HQY,NOR,20230901,1000000152,RMB,B737NG,D717-02-001,100,100,20230901,20230915,14.0
MU,1,1500008105,HQY,NOR,20230817,6100002559,RMB,B737NG,CA244-01,5000,5000,20230818,,
MU,1,1500005733,HQY,NOR,20221006,1000000575,RMB,B737NG,315A2801-4,111658.45,111658.45,20221007,20230118,103.0
MU,1,1500006211,HQY,AOG,20221225,1000000575,RMB,B737NG,980-4750-003,16065.33,16065.33,20221225,20230103,9.0
MU,1,1500006127,HQY,NOR,20221207,1000000575,RMB,B737NG,C16786HA02,1000,1000,20221207,20221213,6.0
MU,1,1500005730,HQY,CRT,20221005,1000000152,RMB,B737NG,69-37369-300,3000,3000,20221008,20221031,23.0
MU,1,1500006196,HQY,NOR,20221220,1000000152,RMB,B737NG,0861FL1,5000,5000,20221220,20230109,20.0
MU,1,1500006164,HQY,CRT,20221215,1000000575,RMB,B737NG,315A2801-5,13084,13084,20221215,20221227,12.0
MU,1,1500006202,HQY,AOG,20221222,1000000575,RMB,B737NG,980-4750-009,20634.76,20634.76,20221223,20230113,21.0
MU,1,1500005734,HQY,AOG,20221006,1000000575,RMB,B737NG,315A2801-5,112897.39,112897.39,20221007,20230118,103.0
MU,1,1500005736,HQY,NOR,20221006,1000000575,RMB,B737NG,315A2801-5,96879.69,96879.69,20221008,20230118,102.0
MU,1,1500005735,HQY,NOR,20221006,1000000575,RMB,B737NG,315A2801-5,97499.16,97499.16,20221008,20230118,102.0
MU,1,1500006337,HQY,AOG,20230119,1000000152,RMB,B737NG,980-4750-009,1202.16,1202.16,20230129,20230206,8.0
MU,1,1500006355,HQY,CRT,20230124,1000000141,RMB,B737NG,67-2906-002,1000,1000,20230124,20230202,9.0
MU,1,1500006468,HQY,NOR,20230208,1000000575,RMB,B737NG,31-9289-4,4408.65,4408.65,20230208,20230216,8.0
MU,1,1500006648,HQY,CRT,20230301,1000000141,RMB,B737NG,3214972-1,5000,5000,20230302,20230310,8.0
MU,1,1500006488,HQY,NOR,20230209,1000000141,RMB,B737NG,274N1051-3,1000,1000,20230210,20230220,10.0
MU,1,1500006527,HQY,NOR,20230216,1000000575,RMB,B737NG,C17001DA01,656.3,656.3,20230216,20230217,1.0
MU,1,1500006600,HQY,NOR,20230225,1000000152,RMB,B737NG,4082730-901,1000,1000,20230225,20230302,5.0
MU,1,1500006542,HQY,AOG,20230217,1000000575,RMB,B737NG,645172-2,28297.07,28297.07,20230218,20230324,34.0
MU,1,1500006547,HQY,CRT,20230218,1000000575,RMB,B737NG,606802-2,11418.27,11418.27,20230218,20230227,9.0
MU,1,1500006872,HQY,NOR,20230328,1000000575,RMB,B737NG,3522W000-001,25886.07,25886.07,20230328,20230412,15.0
MU,1,1500006278,HQY,NOR,20230111,1000000141,RMB,B737NG,20219-0101,2000,2000,20230116,20230116,1.0
MU,1,1500006503,HQY,NOR,20230211,1000000152,RMB,B737NG,69-73713-320,1000,1000,20230212,20230215,3.0
MU,1,1500006471,HQY,AOG,20230208,1000000575,RMB,B737NG,473955-1,6109.53,6109.53,20230209,20230213,4.0
MU,1,1500006736,HQY,NOR,20230313,1000000575,RMB,B737NG,9901-40-0000,3794.27,3794.27,20230314,20230414,31.0
