"id","pn","num","company_name","aog_status","create_time"
27,"398908-5",1.0000,九元航空有限公司,Done,"2021-07-28 11:38:50"
214,"214C50-2",1.0000,深圳航空有限责任公司,Confirm,"2021-07-29 10:49:27"
362,"645242-1",1.0000,河北航空有限公司,Confirm,"2021-07-30 08:52:59"
439,"214C50-2",1.0000,顺丰航空有限公司,Done,"2021-07-30 15:28:39"
550,"214C50-2",1.0000,顺丰航空有限公司,Done,"2021-07-31 18:55:41"
626,"1019439-2-001",1.0000,河北航空有限公司,Confirm,"2021-08-01 18:46:56"
649,"214C50-2",1.0000,顺丰航空有限公司,Done,"2021-08-01 19:49:27"
650,"645405-2",1.0000,瑞丽航空有限公司,Done,"2021-08-01 19:50:28"
789,"214C50-2",2.0000,顺丰航空有限公司,Done,"2021-08-02 17:05:24"
978,"622814-5",2.0000,顺丰航空有限公司,Confirm,"2021-08-04 14:26:58"
1033,"572756-1",1.0000,浙江长龙航空有限公司,Done,"2021-08-04 18:45:20"
1066,"396608-1",1.0000,河北航空有限公司,Confirm,"2021-08-05 10:25:55"
1067,"622814-5",1.0000,河北航空有限公司,Confirm,"2021-08-05 10:25:55"
1081,"214C50-2",1.0000,厦门航空有限公司,Confirm,"2021-08-05 11:21:21"
1099,"321942-1-1",1.0000,浙江长龙航空有限公司,Doing,"2021-08-05 12:46:53"
1146,"67600014-1",1.0000,厦门航空有限公司,Confirm,"2021-08-05 15:58:53"
1407,"67600014-1",1.0000,奥凯航空有限公司,Confirm,"2021-08-07 21:39:09"
1649,"398908-3",1.0000,中原龙浩航空有限公司,Doing,"2021-08-10 07:32:53"
1764,"214C50-2",1.0000,顺丰航空有限公司,Confirm,"2021-08-10 17:31:25"
1775,"398908-5",1.0000,九元航空有限公司,Done,"2021-08-10 22:01:23"
1776,"3214972-1",1.0000,九元航空有限公司,Confirm,"2021-08-10 22:01:23"
1862,"7123-19973-02AB",1.0000,中国邮政航空有限责任公司,Confirm,"2021-08-11 13:14:42"
2060,"2215240-1",1.0000,海航航空技术有限公司,Cancel,"2021-08-12 16:55:31"
2061,"2215280-1",1.0000,海航航空技术有限公司,Doing,"2021-08-12 16:55:31"
2065,"214C50-2",1.0000,东海航空有限公司,Confirm,"2021-08-12 17:51:42"
2325,"214C50-2",3.0000,昆明航空有限公司,Confirm,"2021-08-15 02:56:41"
2401,"69-2914-24",1.0000,九元航空有限公司,Confirm,"2021-08-15 21:58:42"
2405,"396608-1",1.0000,九元航空有限公司,Confirm,"2021-08-15 23:22:13"
2484,"1150250-1",1.0000,九元航空有限公司,Done,"2021-08-16 16:27:14"
2605,"396608-1",1.0000,河北航空有限公司,Confirm,"2021-08-17 15:46:54"
2634,"622878-2",2.0000,九元航空有限公司,Done,"2021-08-17 18:33:48"
2647,"65-52810-57",1.0000,中州航空有限责任公司,Confirm,"2021-08-18 00:56:32"
2831,"214C50-2",2.0000,北京飞机维修工程有限公司,Confirm,"2021-08-19 01:17:13"
2847,"641172-1",1.0000,东方航空技术有限公司,Doing,"2021-08-19 07:40:34"
2886,"398908-5",1.0000,天津货运航空有限公司,Doing,"2021-08-19 11:32:04"
2954,"622878-2",3.0000,九元航空有限公司,Done,"2021-08-19 19:11:04"
2978,"398908-5",1.0000,九元航空有限公司,Done,"2021-08-20 01:46:50"
3428,"645242-1",1.0000,北京飞机维修工程有限公司重庆分公司,Done,"2021-08-24 11:12:32"
3743,"541674-4",1.0000,北京飞机维修工程有限公司重庆分公司,Confirm,"2021-08-26 15:04:44"
4216,"214C50-2",1.0000,北京航空有限责任公司,Confirm,"2021-08-30 14:22:11"
4413,"67600014-1",1.0000,九元航空有限公司,Done,"2021-08-31 22:46:34"
4457,"3202444-1",1.0000,深圳航空有限责任公司,Done,"2021-09-01 10:36:15"
4889,"396608-1",1.0000,中国邮政航空有限责任公司,Done,"2021-09-03 20:18:42"
4918,"607518-2",1.0000,瑞丽航空有限公司,Done,"2021-09-04 09:28:21"
4939,"572756-1",1.0000,顺丰航空有限公司,Done,"2021-09-04 12:43:50"
4981,"214C50-2",1.0000,中国邮政航空有限责任公司,Done,"2021-09-04 21:34:45"
5083,"3290206-1",1.0000,厦门航空有限公司,Confirm,"2021-09-06 07:55:58"
5572,"572757-1",1.0000,中州航空有限责任公司,Confirm,"2021-09-08 20:49:15"
5574,"572756-1",1.0000,中州航空有限责任公司,Confirm,"2021-09-08 20:49:15"
5722,"21933-01AC",1.0000,瑞丽航空有限公司,Done,"2021-09-09 21:44:53"
5879,"162BL903",1.0000,昆明航空有限公司,Doing,"2021-09-10 22:39:22"
5907,"65-52810-57",1.0000,中州航空有限责任公司,Done,"2021-09-11 11:17:59"
6387,"645242-1",1.0000,中国国际航空股份有限公司,Confirm,"2021-09-15 11:09:27"
6599,"214C50-2",1.0000,中国邮政航空有限责任公司,Done,"2021-09-16 12:59:25"
6700,"67600014-1",1.0000,九元航空有限公司,Confirm,"2021-09-17 10:14:58"
6710,"21933-01AC",1.0000,瑞丽航空有限公司,Done,"2021-09-17 11:09:16"
6863,"7121-19971-01AC",2.0000,中国邮政航空有限责任公司,Doing,"2021-09-18 12:38:37"
6901,"645242-1",1.0000,山东航空股份有限公司,Confirm,"2021-09-18 16:29:20"
7155,"1150250-1",1.0000,幸福航空有限责任公司,Done,"2021-09-21 02:27:50"
